headPosition,headRotation,gazeDirection,rightHandPosition,leftHandPosition,rightHandEndPoint,leftHandEndPoint,targetPosition,hitByHandPointer,hitByGazePointer,buttonClicked,stepChange,timestamp,headLinearVelocity,headAngularVelocity,rightHandVelocity,leftHandVelocity,gazeDirectionVelocity,headPositionNorm,headRotationNorm,gazeDirectionNorm,rightHandPositionNorm,leftHandPositionNorm,rightHandEndPointNorm,leftHandEndPointNorm,targetPositionNorm,headLinearVelocityNorm,headAngularVelocityNorm,rightHandVelocityNorm,leftHandVelocityNorm,gazeDirectionVelocityNorm
[4.57542324 0.07839528 1.56893444],[ 8.85352898 66.1932373  -5.19651794],[ 0.90295923 -0.17057113  0.39442372],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,None,None,0,140.61994934082,[-0.03165394  0.0090734   0.00091886],[ 0.1747669  -0.05606064 -0.13744693],[0. 0. 0.],[0. 0. 0.],[-0.06556674 -0.26017588  0.0178944 ],4.837581930137472,66.98457612732314,0.9999999758301044,0.0,0.0,0.0,0.0,0.0,0.032941506405819984,0.22929875955936158,0.0,0.0,0.2689064789920572
[4.56862259 0.08034465 1.56913185],[11.00484657 65.50315094 -6.88844013],[ 0.88887262 -0.22646829  0.39826822],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,140.83479309082,[-0.01370368  0.00517076 -0.00099455],[-0.16490652 -0.00191215  0.17003943],[0. 0. 0.],[0. 0. 0.],[0.04584628 0.25983445 0.02648741],4.8312464634404355,66.77739167268649,1.0000000032915684,0.0,0.0,0.0,0.0,0.0,0.014680491894489221,0.23687807867080365,0.0,0.0,0.26517429450238467
[4.56568241 0.08145405 1.56891847],[ 8.97764587 65.47964478 -4.79814053],[ 0.89870912 -0.17071982  0.4039512 ],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,141.049346923828,[-0.02154528  0.01144926 -0.00248557],[-0.10424317 -0.02733964  0.10590827],[0. 0. 0.],[0. 0. 0.],[0.00394474 0.12936308 0.04095129],4.82841545410686,66.2661614842463,0.9999999528508269,0.0,0.0,0.0,0.0,0.0,0.02452473497121663,0.1510981707773442,0.0,0.0,0.13574747225163236
[4.56101179 0.08393604 1.56837964],[ 7.68287563 65.14006805 -3.48268867],[ 0.89956427 -0.14267628  0.41282868],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,141.266128540039,[-0.0150039   0.01642078  0.00172188],[-0.06442955 -0.08714196  0.04331157],[0. 0. 0.],[0. 0. 0.],[-0.02363991  0.08678756  0.0778236 ],4.823866552470559,65.68397189909857,0.9999999559096171,0.0,0.0,0.0,0.0,0.0,0.022309728566585273,0.11670809699961615,0.0,0.0,0.11894300425687955
[4.55778646 0.08746595 1.56874979],[ 6.88932037 64.06677246 -2.94923592],[ 0.89448249 -0.12401992  0.4295581 ],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,141.481094360352,[-0.00960572  0.01932255  0.00503405],[-0.1380977  -0.09982405  0.10696622],[0. 0. 0.],[0. 0. 0.],[-0.03293236  0.15832984  0.10555856],4.82100027372789,64.50358177078063,1.0000000157954039,0.0,0.0,0.0,0.0,0.0,0.022157895167404545,0.2011904230001823,0.0,0.0,0.1931203948358775
[4.5558548  0.09135163 1.56976211],[ 5.29816866 62.9166069  -1.71677887],[ 0.88785994 -0.09218049  0.45078546],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,141.682189941406,[0.00117341 0.00760345 0.01392904],[-0.03803664 -0.013018    0.09189452],[0. 0. 0.],[0. 0. 0.],[-0.00582373  0.07070054  0.02456869],4.8195758256171155,63.16262617277108,1.0000000230235686,0.0,0.0,0.0,0.0,0.0,0.015912494522465546,0.10030382468712509,0.0,0.0,0.07507398272380117
[4.55610991 0.09300467 1.57279038],[ 4.82436466 62.75444794 -0.57209325],[ 0.88659382 -0.07680968  0.45612687],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,141.899597167969,[0.02718386 0.00802545 0.01645333],[-0.03354669 -0.06917442  0.03979645],[0. 0. 0.],[0. 0. 0.],[-0.02618537  0.06324842  0.05960918],4.820835708765605,62.94221572964794,1.0000000234542346,0.0,0.0,0.0,0.0,0.0,0.032773189837898245,0.08656927080913683,0.0,0.0,0.09077053226723213
[4.56194687 0.09472791 1.57632327],[ 4.41165161 61.90341949 -0.08249161],[ 0.88097125 -0.06322888  0.46892625],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,142.114318847656,[ 0.02794996 -0.02226362 -0.00701584],[ 0.12663548  0.05874242 -0.14296991],[0. 0. 0.],[0. 0. 0.],[ 0.02028717 -0.1023888  -0.05491442],4.827538468601338,62.06047711655224,1.0000000339840474,0.0,0.0,0.0,0.0,0.0,0.036415529421064144,0.1998189530139534,0.0,0.0,0.11794333236573934
[4.56758881 0.09023381 1.57490706],[ 5.8762722  62.58281326 -1.73603034],[ 0.88506639 -0.08389693  0.45784131],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,142.316177368164,[-0.00223719 -0.00685668 -0.00459309],[ 0.04327102 -0.00675282 -0.03347947],[0. 0. 0.],[0. 0. 0.],[-0.00800574 -0.12307596 -0.01069001],4.832322620046803,62.88205540718748,0.9999999357753012,0.0,0.0,0.0,0.0,0.0,0.00855075949322564,0.05512582466653253,0.0,0.0,0.12379847084812005
[4.56710577 0.08875337 1.57391536],[ 6.41157103 62.49927521 -2.15019941],[ 0.88333786 -0.11047049  0.45553321],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,142.532089233398,[-0.01069701 -0.00305696 -0.00301757],[0.03228627 0.01139516 0.01481191],[0. 0. 0.],[0. 0. 0.],[ 0.0041406  -0.01338198 -0.01135189],4.8315154811266625,62.864067653960454,0.9999999988658806,0.0,0.0,0.0,0.0,0.0,0.011527221907372329,0.03730477018001983,0.0,0.0,0.018030178780869252
[4.5647769  0.08808783 1.5732584 ],[ 6.81431007 62.64141846 -1.96543562],[ 0.88423932 -0.11338391  0.45306176],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,142.749801635742,[-0.00804731 -0.0015844  -0.00414415],[ 0.00113336 -0.04078896 -0.01586765],[0. 0. 0.],[0. 0. 0.],[-0.01628926 -0.01154261  0.02859181],4.829087862416902,63.04161375856486,1.0000000186153324,0.0,0.0,0.0,0.0,0.0,0.009189311687730534,0.04378134623997998,0.0,0.0,0.0348720999243302
[4.56291389 0.08772103 1.572299  ],[ 6.82934332 62.10037994 -2.17590952],[ 0.88046825 -0.1160561   0.45968094],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,142.981307983398,[-0.01321742 -0.00548545  0.0092955 ],[ 0.03271984 -0.08482661 -0.0225775 ],[0. 0. 0.],[0. 0. 0.],[-0.02816925 -0.02124421  0.04781747],4.827007597539749,62.51265233193918,0.9999999636021907,0.0,0.0,0.0,0.0,0.0,0.01706448474379997,0.09367969562646077,0.0,0.0,0.059425026780989244
[4.56025028 0.08661559 1.57417226],[ 7.20713997 61.12093735 -2.43659854],[ 0.8747915  -0.12033729  0.46931726],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,143.182830810547,[ 0.00916358 -0.00158091  0.00462584],[-0.00748238 -0.02760455 -0.01299549],[0. 0. 0.],[0. 0. 0.],[-0.04084    -0.02423988  0.0683123 ],4.8250806414988965,61.592603948844086,0.9999999628571444,0.0,0.0,0.0,0.0,0.0,0.010385995577458909,0.03141464824650967,0.0,0.0,0.08319884290626818
[4.5622344  0.08627329 1.57517385],[ 7.11431503 60.77848053 -2.59781814],[ 0.86594874 -0.12558576  0.48410839],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,143.399353027344,[ 0.0130716  -0.00234398 -0.00266967],[-0.00370302  0.05371555 -0.04587384],[0. 0. 0.],[0. 0. 0.],[ 0.01935467 -0.00630382 -0.03665238],4.827276508510717,61.24855780315573,0.9999999652802635,0.0,0.0,0.0,0.0,0.0,0.013545772572673887,0.07073529412649385,0.0,0.0,0.04192538888021109
[4.56508923 0.08576137 1.5745908 ],[ 7.06797791 61.45064163 -3.1718533 ],[ 0.87017578 -0.12696251  0.47610354],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,143.617752075195,[ 0.01344281 -0.00139333 -0.00322625],[ 0.0130352   0.00862065 -0.00730874],[0. 0. 0.],[0. 0. 0.],[ 0.01005693 -0.01510276 -0.02259843],4.829775444663112,61.937051286328504,0.9999999752985912,0.0,0.0,0.0,0.0,0.0,0.013894576657051731,0.01725252684779227,0.0,0.0,0.028981448675222815
