headPosition,headRotation,gazeDirection,rightHandPosition,leftHandPosition,rightHandEndPoint,leftHandEndPoint,targetPosition,hitByHandPointer,hitByGazePointer,buttonClicked,stepChange,timestamp,headLinearVelocity,headAngularVelocity,rightHandVelocity,leftHandVelocity,gazeDirectionVelocity,headPositionNorm,headRotationNorm,gazeDirectionNorm,rightHandPositionNorm,leftHandPositionNorm,rightHandEndPointNorm,leftHandEndPointNorm,targetPositionNorm,headLinearVelocityNorm,headAngularVelocityNorm,rightHandVelocityNorm,leftHandVelocityNorm,gazeDirectionVelocityNorm
[-0.44684964  0.38112319 -5.38936043],[-8.46064016e-02  1.56301865e+02 -8.36464691e+00],[ 0.32047185 -0.002516   -0.94725478],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,None,None,0,111.365135192871,[ 0.00499472  0.00282458 -0.00524725],[-0.01510609  0.06282066  0.0631238 ],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],5.42126694676782,156.52554858918668,1.000000075651714,0.0,0.0,0.0,0.0,0.0,0.0077755405665998305,0.09032852878891799,0.0,0.0,0.0
[-0.44573262  0.38175488 -5.39053392],[ -0.27817062 157.10682678  -7.55580044],[ 0.32047185 -0.002516   -0.94725478],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,MediasManager (UnityEngine.GameObject),None,0,111.588775634766,[ 0.00173732  0.00905508 -0.05661613],[0.06208161 0.28282889 0.12518045],[0. 0. 0.],[0. 0. 0.],[-0.03693972  0.00547552 -0.01234778],5.422386037819275,157.28865986055578,1.000000075651714,0.0,0.0,0.0,0.0,0.0,0.05736200257655922,0.31546228022553985,0.0,0.0,0.03933182148478468
[-0.44538486  0.38356745 -5.40186691],[  0.43384555 160.3506012   -6.12010145],[ 0.31307754 -0.00141995 -0.94972646],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,1,111.788948059082,[ 0.0018706  -0.00748776  0.00062274],[ 0.03046517 -0.02817882 -0.21429098],[0. 0. 0.],[0. 0. 0.],[-0.02598863 -0.00499905 -0.00847832],5.433751724929186,160.46793813018743,0.9999999575674416,0.0,0.0,0.0,0.0,0.0,0.007742964441224731,0.21827229888720026,0.0,0.0,0.027789952761798697
[-0.44500959  0.3820653  -5.40174198],[  0.78402406 160.02670288  -8.58324528],[ 0.30786383 -0.00242284 -0.95142734],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,0,111.989562988281,[-0.01038068 -0.01836622  0.01532505],[-0.02009404 -0.05084723 -0.32154351],[0. 0. 0.],[0. 0. 0.],[-0.0332807  -0.11650117 -0.00890934],5.4334909459558025,160.25864228844958,0.9999999965797597,0.0,0.0,0.0,0.0,0.0,0.026075541765534515,0.32615861120740486,0.0,0.0,0.12148870289755957
[-0.44710129  0.3783645  -5.39865398],[  0.5520364  159.43966675 -12.29549599],[ 0.30115777 -0.02589782 -0.95322257],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,0,112.191062927246,[-0.04307498 -0.02029536  0.01647243],[-0.0781078   0.3056573  -0.34963403],[0. 0. 0.],[0. 0. 0.],[-0.05368698 -0.1175909  -0.01199637],5.4303337010831445,159.91401220182388,0.9999999870642169,0.0,0.0,0.0,0.0,0.0,0.050385474203831215,0.47092586505151024,0.0,0.0,0.12982228618966302
[-0.45572996  0.37429899 -5.39535427],[ -0.34443343 162.94779968 -16.30836487],[ 0.29040334 -0.04945332 -0.95562565],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,0,112.391380310059,[0.00437317 0.00660836 0.02641351],[ 0.10889495 -0.09729422  0.0698291 ],[0. 0. 0.],[0. 0. 0.],[-0.01992104 -0.05001374 -0.00313802],5.4274890364104325,163.7622264762697,1.0000000587905693,0.0,0.0,0.0,0.0,0.0,0.027576590916884962,0.16186531076987298,0.0,0.0,0.0539265208828105
[-0.45478874  0.37572128 -5.38966942],[  0.99840432 161.74801636 -15.44726753],[ 0.28611583 -0.06021754 -0.95630103],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,0,112.606605529785,[0.00950067 0.00359553 0.01602177],[ 0.04844822 -0.37882412  0.01691321],[0. 0. 0.],[0. 0. 0.],[ 0.0680214  -0.00453285  0.02125938],5.421857220372626,162.48703234711087,1.0000000419220398,0.0,0.0,0.0,0.0,0.0,0.01897070036759584,0.38228392241665066,0.0,0.0,0.07141021063870975
[-0.4525708   0.37656066 -5.38592911],[  1.64643824 156.68093872 -15.22103977],[ 0.30199555 -0.06127574 -0.95133799],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,0,112.840057373047,[-0.06191018  0.00916556  0.00929003],[-0.24745969  0.69757493  0.00651665],[0. 0. 0.],[0. 0. 0.],[0.05794474 0.0008068  0.01873374],5.418011683959735,157.42714940258557,1.0000000014980939,0.0,0.0,0.0,0.0,0.0,0.06327070459845793,0.7401956182029313,0.0,0.0,0.06090317220907575
[-0.46500838  0.37840199 -5.38406277],[ -1.20196199 164.7104187  -15.14602947],[ 0.31363648 -0.06111366 -0.94757444],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,0,113.040954589844,[-0.07960333  0.01036678  0.03126757],[-0.30008392  1.04864212  0.05344331],[0. 0. 0.],[0. 0. 0.],[-0.09803901  0.01783547 -0.03242054],5.417338160069004,165.40970029030373,1.0000000173044918,0.0,0.0,0.0,0.0,0.0,0.08614999655858131,1.092042513470734,0.0,0.0,0.1047895198212963
[-0.48120999  0.38051194 -5.3776989 ],[ -4.7013526  176.93902588 -14.52280712],[ 0.29368266 -0.05748361 -0.95417297],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,0,113.244483947754,[-0.00314646  0.00702761  0.0593369 ],[ 0.07511842 -0.00769689  0.12377683],[ -2.56770739  -0.26515687 -24.4375758 ],[0. 0. 0.],[-0.24497468  0.02292897 -0.06882006],5.412577743993743,177.5962655066053,0.9999999639186947,0.0,0.0,0.0,0.0,0.0,0.05983439393983752,0.14499214516211995,24.57353333163168,0.0,0.2554888102592237
[-0.48194236  0.38214767 -5.36388779],[ -3.69957137 176.83638    -12.87211609],[ 0.23666295 -0.05214672 -0.97019136],[-0.59765333 -0.06171727 -5.68803072],[0. 0. 0.],[-0.50824302 -0.0415723  -6.45322227],[0. 0. 0.],[0. 0. 0.],MediasManager (UnityEngine.GameObject),ScenarioMenu(Clone) (UnityEngine.GameObject),None,0,113.477241516113,[-0.02787422  0.01940834  0.04889452],[-0.03694136  0.20190115  0.34393823],[ 0.0535499   0.83383163 -0.03827413],[0. 0. 0.],[-0.19727771  0.0430902  -0.04537517],5.399036716467345,177.34284167726167,0.9999999542518193,5.719675864259212,0.0,6.473338934109793,0.0,0.0,0.05953427388142009,0.4005274538170947,0.8364255471745458,0.0,0.2069641644671969
[-0.48833629  0.38659966 -5.3526721 ],[ -4.18508482 179.4899292   -8.35179996],[ 0.19141033 -0.04226246 -0.98059976],[-0.58536977  0.12955151 -5.69681025],[0. 0. 0.],[-0.43489486  0.3486847  -6.44597673],[0. 0. 0.],[0. 0. 0.],MediasManager (UnityEngine.GameObject),ScenarioMenu(Clone) (UnityEngine.GameObject),None,0,113.70662689209,[-0.17386268  0.00074703  0.07891157],[-0.30610664  1.90507791  0.31859211],[-0.02286288  0.27090842  0.0992447 ],[0. 0. 0.],[-0.19527482  0.06021307 -0.03630861],5.388787455893354,179.73286338770438,0.9999999612260155,5.7282709722123775,0.0,6.470033277756844,0.0,0.0,0.1909340892716182,1.9556390443560987,0.28941940707629155,0.0,0.20754803022337573
[-0.52319717  0.38674945 -5.33684969],[ -7.70172024 201.37597656  -4.69172812],[ 0.15225615 -0.03018925 -0.98787993],[-0.58995396  0.18387085 -5.67691088],[0. 0. 0.],[-0.48306003  0.41342002 -6.19610262],[0. 0. 0.],[0. 0. 0.],ScenarioMenu(Clone) (UnityEngine.GameObject),ScenarioMenu(Clone) (UnityEngine.GameObject),None,0,113.907135009766,[-0.19390023  0.00385712  0.11886525],[-0.70345238  1.98579045  0.36595955],[-0.27291504 -0.05661304  0.13664595],[0. 0. 0.],[-0.630207    0.07314042 -0.05184598],5.376362620339464,201.5778081630681,1.0000000424142161,5.7104440520791195,0.0,6.228639560621997,0.0,0.0,0.2274667520173997,2.138255216353008,0.3104186996697737,0.0,0.6365519554263208
[-0.56812477  0.38764316 -5.30930805],[-1.70405445e+01  2.27738739e+02  1.66641876e-01],[ 0.00623421 -0.01324227 -0.99989289],[-0.65318966  0.17075334 -5.64524937],[0. 0. 0.],[-0.58452153  0.51513255 -6.49595356],[0. 0. 0.],[0. 0. 0.],MediasManager (UnityEngine.GameObject),GearsCollection (UnityEngine.GameObject),None,0,114.13883972168,[ 0.03537265  0.01290531 -0.04680696],[ 0.31273332 -0.35236102 -0.25518436],[-0.2845961  -0.02858327  0.11837584],[0. 0. 0.],[-2.89690889  0.18817448  0.91242036],5.353670233170983,228.3754390783862,1.0000000077953617,5.685477451233001,0.0,6.542510192111699,0.0,0.0,0.06007214643143944,0.5357979842216377,0.3095557831763831,0.0,3.0430250847076175
[-0.56099772  0.39024338 -5.31873894],[-13.43028164 223.67100525  -2.77926302],[-0.57744855  0.024672   -0.81605417],[-0.71053141  0.16499425 -5.62139845],[0. 0. 0.],[ -1.05114114   2.00072074 -10.80412292],[0. 0. 0.],[0. 0. 0.],MediasManager (UnityEngine.GameObject),ScenarioMenu(Clone) (UnityEngine.GameObject),None,0,114.340324401855,[ 0.19175177  0.00344049 -0.07351861],[ 1.06179522 -2.32581816 -0.24811181],[-7.61490040e-02  5.37944130e-02  7.39024297e-05],[0. 0. 0.],[ 0.03884407  0.00011783 -0.02720742],5.362461396367349,224.09108718765702,0.9999999663855198,5.668527014624386,0.0,11.03797324482152,0.0,0.0,0.205391251592039,2.568734837161184,0.09323365882057277,0.0,0.04742488056023222
[-0.52264357  0.39093155 -5.33344412],[ -1.2617979  197.01644897  -5.62269688],[-0.56967896  0.02469557 -0.82149619],[-0.72576272  0.1757542  -5.62138367],[0. 0. 0.],[ -1.31167233   2.00159574 -10.79593754],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,0,114.540344238281,[ 0.02753854  0.00730026 -0.01929284],[-0.32531661  0.18207335  0.26557198],[ 0.0274541   0.1006458  -0.08280295],[0. 0. 0.],[ 0.01049691 -0.01037896 -0.00755253],5.373230865743098,197.1007052769805,0.9999999895597779,5.670764975266404,0.0,11.057989741231216,0.0,0.0,0.03440753143778451,0.45772271481133275,0.1331902152680216,0.0,0.016581573209558473
[-0.51624763  0.39262706 -5.33792496],[ -5.5908432  199.43933105  -2.08868384],[-0.56724101  0.02228501 -0.82325029],[-0.7193864   0.1991296  -5.64061499],[0. 0. 0.],[ -1.38244116   2.15913677 -10.76010704],[0. 0. 0.],[0. 0. 0.],None,ButtonPin (UnityEngine.GameObject),None,0,114.772598266602,[ 0.13402341 -0.00977568 -0.01829638],[ 0.08214452 -0.26144621 -0.21878978],[-0.16388263  0.16509348  0.06909621],[0. 0. 0.],[-0.01636907 -0.02178343  0.01081057],5.377184251415989,199.5286117313365,1.0000000174408987,5.689789698392473,0.0,11.061325358707492,0.0,0.0,0.135619305984998,0.35067194148149866,0.24266779629713867,0.0,0.029314375146604378
[-0.48507005  0.39035296 -5.34218121],[ -4.49597216 195.95462036  -5.00484419],[-0.57104892  0.01721758 -0.82073545],[-0.75751007  0.23753494 -5.62454128],[0. 0. 0.],[-0.86601067  0.50359613 -6.10382509],[0. 0. 0.],[0. 0. 0.],ScenarioMenu(Clone) (UnityEngine.GameObject),ButtonPin (UnityEngine.GameObject),None,0,115.005226135254,[ 0.23094471 -0.01615816 -0.00290201],[ 0.76623131 -2.56318229 -0.20894845],[0.11877632 0.01615342 0.01080431],[0. 0. 0.],[ 0.321829   -0.01812902 -0.20635391],5.3783425351177625,196.0700779617776,0.9999999976337716,5.680291276708749,0.0,6.185488201442689,0.0,0.0,0.2315274683611703,2.6834070355174804,0.120355638501649,0.0,0.3827329403054849
[-0.4386228   0.38710326 -5.34276485],[  4.33349466 166.41845703  -7.41260719],[-0.50632316  0.0135715  -0.86223704],[-0.73362195  0.24078369 -5.62236834],[0. 0. 0.],[ -2.01364994   2.64386463 -10.41617966],[0. 0. 0.],[0. 0. 0.],ScenarioMenu(Clone) (UnityEngine.GameObject),None,None,0,115.206344604492,[-0.12970373  0.02251974 -0.02287569],[-0.59847353  1.93533807  0.39408308],[ 0.23678033 -0.02224841 -0.14321038],[0. 0. 0.],[ 1.42392534 -0.10382915 -0.56330118],5.374697683235661,166.63981745686092,1.000000016689834,5.675139087399997,0.0,10.93350835367484,0.0,0.0,0.13361696202474527,2.0637358132305224,0.27761327231404404,0.0,1.5348133760993445
[-0.46468586  0.39162844 -5.34736156],[ -2.55684209 188.70036316  -2.87545562],[-0.22019534 -0.00729224 -0.97542846],[-0.68604261  0.23631303 -5.65114546],[0. 0. 0.],[ -1.61282396   2.62820387 -10.53996658],[0. 0. 0.],[0. 0. 0.],None,SwapRolesButton (UnityEngine.GameObject),None,0,115.407287597656,[-0.01240706 -0.00729047 -0.03879649],[-0.23329878  0.54259807 -0.06052273],[ 0.05785193  0.02671432 -0.07145052],[0. 0. 0.],[-0.07041772  0.00280046  0.01650008],5.381782370852818,188.73958976029218,0.9999999241027266,5.697538354111355,0.0,10.981782746373653,0.0,0.0,0.04137939259286921,0.5937204641509093,0.09573754064993549,0.0,0.07237921859263202
[-0.46757436  0.38993114 -5.35639381],[ -5.66883469 195.93812561  -3.68277359],[-0.23658936 -0.00664026 -0.97158706],[-0.67257404  0.24253242 -5.66777992],[0. 0. 0.],[ -1.39644551   2.66812444 -10.57119942],[0. 0. 0.],[0. 0. 0.],ScenarioMenu(Clone) (UnityEngine.GameObject),ScenarioMenu(Clone) (UnityEngine.GameObject),None,0,115.640098571777,[ 0.03010963 -0.01081763 -0.02555084],[ 0.18729385 -0.73237243 -0.31572951],[-0.03162805  0.06744936 -0.03653438],[0. 0. 0.],[-0.04705336 -0.00584538  0.01174527],5.3908836722372255,196.05470556891544,1.0000000179128465,5.7126970046376675,0.0,10.991778982477122,0.0,0.0,0.040944551969497735,0.8192273698781655,0.08297295220852971,0.0,0.04884811432821598
[-0.46151692  0.38775486 -5.36153412],[ -3.50994778 187.4962616   -7.32210445],[-0.24605553 -0.00781623 -0.96922415],[-0.67893696  0.25610185 -5.67512989],[0. 0. 0.],[ -1.3386488    2.72678947 -10.56964684],[0. 0. 0.],[0. 0. 0.],None,SwapRolesButton (UnityEngine.GameObject),None,0,115.841278076172,[-0.04135072 -0.01288056  0.01986183],[-0.01307415  0.07687138 -0.21960076],[ 0.01400507  0.13387387 -0.12785748],[0. 0. 0.],[-0.0335873  -0.01478646  0.00881812],5.395312761969159,187.6720039317592,0.9999999395517803,5.7213322594157106,0.0,10.997490425591037,0.0,0.0,0.04764749180593083,0.23303355479331875,0.1856499142338319,0.0,0.037742615651937886
[-0.47119808  0.38473922 -5.356884  ],[ -3.68532801 188.5274353  -10.26788902],[-0.25391909 -0.01127808 -0.96715963],[-0.67565805  0.28744483 -5.7050643 ],[0. 0. 0.],[ -1.16757751   2.89219213 -10.57208824],[0. 0. 0.],[0. 0. 0.],None,SwapRolesButton (UnityEngine.GameObject),None,0,116.075401306152,[-0.01574909  0.01164126  0.03948917],[-0.08724557  0.03750544  0.30541501],[-0.05198886 -0.07038093 -0.35221182],[0. 0. 0.],[-0.03691985  0.00316586  0.00983297],5.391313209061081,188.8428051298992,0.9999999247926645,5.752121083282373,0.0,11.022570585299157,0.0,0.0,0.04407887210164111,0.319838669298018,0.3629180095034391,0.0,0.03833778140310495
[-0.4748745   0.38745672 -5.34766579],[ -4.8522315  189.02906799  -6.18298435],[-0.26253754 -0.01053905 -0.96486425],[-0.68779415  0.27101535 -5.78728342],[0. 0. 0.],[-0.69667822  0.42572141 -6.15895176],[0. 0. 0.],[0. 0. 0.],ScenarioMenu(Clone) (UnityEngine.GameObject),SwapRolesButton (UnityEngine.GameObject),None,0,116.308837890625,[-0.01082736  0.00242661  0.02309726],[ 0.04403635 -0.09594589  0.06621783],[ 0.00621536 -0.16983837 -0.05058127],[0. 0. 0.],[-0.00456293  0.00687649  0.00117384],5.3826720000547095,189.19239411883575,1.000000029853625,5.8343088278738255,0.0,6.212832368100051,0.0,0.0,0.025624276706283707,0.12461787965327517,0.1773193922954375,0.0,0.008335729136060453
[-0.4770577   0.38794601 -5.34300852],[ -4.34348106 187.92060852  -5.41797209],[-0.2634576  -0.0091525  -0.96462756],[-0.6865409   0.2367696  -5.79748249],[0. 0. 0.],[-0.69093704  0.36928973 -6.15177631],[0. 0. 0.],[0. 0. 0.],ButtonPin (UnityEngine.GameObject),SwapRolesButton (UnityEngine.GameObject),None,0,116.510475158691,[-0.01194871  0.0039436   0.01710603],[-0.04958466  0.03178866  0.05600252],[-0.01705267 -0.02188404  0.0186386 ],[0. 0. 0.],[-0.00498566 -0.00549517  0.00142064],5.3782735312442815,188.048864277386,1.000000005204658,5.842790556066212,0.0,6.201461175633001,0.0,0.0,0.02123534809677201,0.08127385952225474,0.033423081000292024,0.0,0.007554597585869743
[-0.47979391  0.38884908 -5.3390913 ],[ -4.99405766 188.33769226  -4.68318987],[-0.26459929 -0.01041087 -0.96430224],[-0.6904459   0.23175824 -5.79321432],[0. 0. 0.],[-0.69638324  0.36828125 -6.15993929],[0. 0. 0.],[0. 0. 0.],ScenarioMenu(Clone) (UnityEngine.GameObject),ButtonPin (UnityEngine.GameObject),None,0,116.739471435547,[-0.00721864  0.00171189  0.01205112],[ 0.01663733 -0.00574192  0.03695701],[0.00757692 0.07397081 0.040909  ],[0. 0. 0.],[-0.00399783 -0.00841354  0.00119695],5.374690848707857,188.46208957059574,0.9999999929558012,5.83881491329885,0.0,6.210107304615914,0.0,0.0,0.014151637433920967,0.04093398107981441,0.08486835347234728,0.0,0.00939164509291839
[-0.4812386   0.38919169 -5.33667946],[ -4.80327988 188.27185059  -4.25940943],[-0.2653994  -0.01209471 -0.96406269],[-0.6889295   0.24656233 -5.78502703],[0. 0. 0.],[-0.69416428  0.40172112 -6.1514945 ],[0. 0. 0.],[0. 0. 0.],ButtonPin (UnityEngine.GameObject),ButtonPin (UnityEngine.GameObject),None,0,116.939605712891,[-0.00785918  0.00031211  0.00692644],[-0.03041238 -0.02547494  0.05315667],[0.02347494 0.02800593 0.00877089],[0. 0. 0.],[-0.00127434 -0.00449549  0.00040982],5.372449013898357,188.38127239537337,0.9999999966486571,5.831119492998703,0.0,6.203557730939896,0.0,0.0,0.010480436944296633,0.0663288554453875,0.03758102304593217,0.0,0.0046905596710025725
[-0.48306519  0.38926423 -5.33506966],[ -5.20826197 187.93261719  -3.55155635],[-0.26569557 -0.01313953 -0.96396744],[-0.68347359  0.25307131 -5.78298855],[0. 0. 0.],[-0.68587822  0.41905442 -6.16163826],[0. 0. 0.],[0. 0. 0.],ScenarioMenu(Clone) (UnityEngine.GameObject),ButtonPin (UnityEngine.GameObject),None,0,117.172019958496,[-0.00285558  0.00053748  0.00303657],[-0.00900761 -0.03995447  0.02913461],[ 0.01981369  0.00741401 -0.0080872 ],[0. 0. 0.],[ 0.0095018  -0.00373948 -0.0025563 ],5.371019163226374,188.0383156384782,1.000000007152014,5.828733805956619,0.0,6.213841129324669,0.0,0.0,0.00420285223492993,0.05026253619863257,0.022648460859559225,0.0,0.010526280193453714
[-0.48363647  0.38937175 -5.33446217],[ -5.31151152 187.47463989  -3.21760154],[-0.26379466 -0.01388764 -0.96447885],[-0.6795097   0.25455454 -5.78460646],[0. 0. 0.],[-0.67926002  0.42165747 -6.16247034],[0. 0. 0.],[0. 0. 0.],ScenarioMenu(Clone) (UnityEngine.GameObject),ButtonPin (UnityEngine.GameObject),None,0,117.372077941895,[ 0.00173159 -0.00023832 -0.00046393],[-0.00339473  0.03083228  0.03526577],[-0.0047952  -0.02019326 -0.00641687],[0. 0. 0.],[ 0.00735124  0.00369726 -0.00205661],5.370474950536197,187.5774659096821,0.9999999711202978,5.8299402488230365,0.0,6.214115374967805,0.0,0.0,0.0018084341662860434,0.04696624252496377,0.02172413533818016,0.0,0.008481747737854376
[-0.48328763  0.38932374 -5.33455563],[ -5.35069513 187.83052063  -2.81054735],[-0.26231372 -0.01314281 -0.96489316],[-0.68047571  0.25048652 -5.78589916],[0. 0. 0.],[-0.67967421  0.41581857 -6.16246557],[0. 0. 0.],[0. 0. 0.],ScenarioMenu(Clone) (UnityEngine.GameObject),ButtonPin (UnityEngine.GameObject),None,0,117.573532104492,[ 0.00571834  0.00120494 -0.00141775],[ 0.003792   -0.00318058 -0.01621252],[-0.00625387 -0.01950854 -0.00436047],[0. 0. 0.],[ 0.00680384  0.0045025  -0.00190383],5.3705329006664755,187.92773503375787,1.0000000187817246,5.831159388042674,0.0,6.213762470885747,0.0,0.0,0.006013430419326373,0.01695114029132836,0.02094534970905561,0.0,0.008377910576896403
[-0.48214328  0.38956487 -5.33483934],[ -5.30721617 187.79405212  -2.9964397 ],[-0.26095214 -0.01224177 -0.96527416],[-0.68172723  0.24658249 -5.78677177],[0. 0. 0.],[-0.68163532  0.40545794 -6.15318298],[0. 0. 0.],[0. 0. 0.],ButtonPin (UnityEngine.GameObject),ButtonPin (UnityEngine.GameObject),None,0,117.773651123047,[ 0.00421087 -0.00155124 -0.00406325],[ 0.02318497 -0.0117535  -0.00344289],[-0.00067249 -0.02146052 -0.00493351],[0. 0. 0.],[ 0.00247087  0.00614244 -0.00074013],5.370729350946752,187.89292484672325,1.0000000387512353,5.8320050163353025,0.0,6.2040860471951484,0.0,0.0,0.0060537366510743105,0.026221007231062785,0.022030564455809077,0.0,0.0066620269263293385
[-0.48116732  0.38920534 -5.3357811 ],[ -4.99932814 187.63796997  -3.04216003],[-0.26037946 -0.01081812 -0.9654457 ],[-0.6818831   0.24160852 -5.78791523],[0. 0. 0.],[-0.68265361  0.39755642 -6.15287495],[0. 0. 0.],[0. 0. 0.],ButtonPin (UnityEngine.GameObject),ButtonPin (UnityEngine.GameObject),None,0,118.005424499512,[-0.00371099  0.00311573 -0.01024652],[-0.01669967  0.00790151  0.00418339],[-0.0017951  -0.01619058 -0.01198981],[0. 0. 0.],[-0.00770473  0.00588548  0.00202189],5.371551237763862,187.72920868691662,0.9999999455550245,5.8329496774431,0.0,6.203381107468964,0.0,0.0,0.011334481233961859,0.018942373947071423,0.020226530245183772,0.0,0.009904024813582971
[-0.4819144   0.38983259 -5.33784389],[ -5.19195223 187.72911072  -2.99390626],[-0.26193056 -0.00963327 -0.96503866],[-0.68224448  0.23834908 -5.79032898],[0. 0. 0.],[-0.68321812  0.39189121 -6.15279675],[0. 0. 0.],[0. 0. 0.],ButtonPin (UnityEngine.GameObject),ButtonPin (UnityEngine.GameObject),None,0,118.206741333008,[-0.00755345 -0.0020673  -0.01280162],[-0.01805341  0.01273855 -0.03406271],[-0.00723377 -0.01081183 -0.00966972],[0. 0. 0.],[-0.00833453  0.0007822   0.00226342],5.373712718599288,187.82475569934982,1.0000000127561224,5.8352529940651365,0.0,6.203005200065099,0.0,0.0,0.015006994021258492,0.04060128105949663,0.016208843640755914,0.0,0.008671749722357272
