annotation,headPosition,headRotation,gazeOrigin,gazeHitPosition,rightHandPosition,leftHandPosition,rightHandEndPoint,leftHandEndPoint,HitByHandPointer,HitByGazePointer,buttonClicked,timestamps,gazeDirection,hand2GazePointersDistance,headLinearVelocity,headAngularVelocity,rightHandVelocity,leftHandVelocity,gazeHitPositionVelocity,handsEndPointVelocity,gazeDirectionVelocity,headPositionNorm,gazeOriginNorm,gazeHitPositionNorm,rightHandPositionNorm,leftHandPositionNorm,rightHandEndPointNorm,leftHandEndPointNorm,gazeDirectionNorm,headLinearVelocityNorm,headAngularVelocityNorm,rightHandVelocityNorm,leftHandVelocityNorm,gazeHitPositionVelocityNorm,handsEndPointVelocityNorm,gazeDirectionVelocityNorm
information_assimilation_augmentation,[0.1995208  0.01062153 0.38105124],"quaternion(0.963194370269775, -0.0440344028174877, -0.253700464963913, -0.0771600604057312)",[0.17652884 0.0108522  0.41038302],[0. 0. 0.],[ 1.31826258 -0.62227982  1.10267425],[ 1.54543161 -0.14870936  0.63123018],[-2.11505747 -2.64857221 -2.72465038],[-1.38410485  1.43605709 -3.74802661],MediasManager (UnityEngine.GameObject),None,cartes_321 (UnityEngine.GameObject),529.4337,[0. 0. 0.],0.0,[ 0.0170928   0.00274056 -0.01246066],[ 0.00914008  0.00235613 -0.01296304],[-3.95399693  1.86646618 -3.30736127],[-4.63536777  0.44603886 -1.89331186],[-0.86964571  0.15803851  3.22207156],[10.49538787  3.63681798 19.41414815],[ 0. -0.  0.],0.43025738170023214,0.4468718180818792,0.0,1.8278235397302034,1.6759847495012943,4.348807024608317,4.245669518797793,0.0,0.021329383999164286,0.016035360974213677,5.482374144362013,5.026948858732388,3.3411083446715164,22.36713571100935,0.0
information_assimilation_augmentation,[0.20521954 0.01153523 0.37689686],"quaternion(0.960321962833405, -0.0468867793679237, -0.262776255607605, -0.0808208286762238)",[0.17699428 0.01091049 0.40887648],[-0.28993988  0.05269004  1.07423866],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,529.7671,[-0.46693416  0.04177955  0.66536218],0.0,[-0.03745847  0.00015566 -0.0101561 ],[-0.12563922  0.03713445 -0.04784945],[0. 0. 0.],[-0.1784454  -0.44244212  1.36861685],[ 0.01614574 -0.00852507  0.00555495],[-5.18638774  8.73837538 12.21043835],[0.00998782 0.02578634 0.00539001],0.4293010153119861,0.4456747563908489,1.1139255221134277,0.0,0.0,0.0,0.0,0.8139286635667289,0.038811178957638075,0.13947670054450523,0.0,1.4493825852730946,0.01908452389047966,15.885610678490055,0.028173461170136103
information_assimilation_augmentation,[0.19152097 0.01159216 0.37318277],"quaternion(0.956932961940765, -0.0546687282621861, -0.27618619799614, -0.0707946494221687)",[0.17774712 0.01105685 0.40483889],[-0.28403538  0.04957242  1.0762701 ],[0. 0. 0.],[-0.06525748 -0.16180108  0.50050318],[0. 0. 0.],[-1.896662    3.19562387  4.4653573 ],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,530.1328,[-0.4617825   0.03851557  0.67143121],23.984116376539653,[-0.03528394 -0.00709045  0.03475093],[-0.15008482 -0.0104462   0.15665084],[0. 0. 0.],[-0.15683685 -1.19021203  0.06216279],[-0.02391153 -0.00968099 -0.01628072],[  6.01587476 -13.79708658 -13.23625013],[ 0.00928484 -0.03191282  0.00821635],0.41961892735695927,0.44227911750216103,1.1142220875832245,0.0,0.530039211434294,0.0,5.8093678251229734,0.8158102728202236,0.050028568707663756,0.21719591025684412,0.0,1.202109267176573,0.030504831882769486,20.04366894441889,0.034236597164315256
information_assimilation_augmentation,[0.18264706 0.00980891 0.38192263],"quaternion(0.958577454090118, -0.0427044481039047, -0.275304168462753, -0.0592730343341827)",[0.1781508  0.01107118 0.40300474],[-0.29004914  0.04713766  1.0721755 ],[0. 0. 0.],[-0.10470195 -0.46113941  0.51613712],[0. 0. 0.],[-0.3836695 -0.2743434  1.1364404],GearsCollection (UnityEngine.GameObject),ScenarioMenu(Clone) (UnityEngine.GameObject),None,530.3843,[-0.46819994  0.03606648  0.66917077],0.11624481802369951,[ 0.00161093  0.00372809 -0.01518097],[-0.18479319 -0.03984667  0.3182129 ],[0. 0. 0.],[ 0.47397895  2.08754826 -2.33651934],[-0.02795968 -0.00250699 -0.01889324],[ 1.73684697  1.24193482 -5.14459211],[ 0.00125453 -0.03604067  0.00282025],0.4234631767479322,0.4407642187898749,1.1117152371069585,0.0,0.700006846078079,0.0,1.2304321834143488,0.8174970878564977,0.015714822179627982,0.37012934079274656,0.0,3.1688856771314993,0.033837600491959045,5.570086842077058,0.03617260391420236
information_assimilation_augmentation,[0.18300292 0.01063245 0.37856916],"quaternion(0.954383730888367, -0.0238065384328365, -0.293307542800903, -0.0505529902875423)",[0.17792784 0.01094919 0.40170115],[-0.29622543  0.04658386  1.06800199],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,530.6052,[-0.47415327  0.03563467  0.66630083],0.0,[ 0.0042337  -0.03759938 -0.01157116],[-0.40015247 -0.06967758  0.59270887],[0. 0. 0.],[0. 0. 0.],[-0.03512246 -0.00066363 -0.02335035],[0. 0. 0.],[-0.00182411 -0.04431269  0.00107183],0.42061588548029305,0.439479255068318,1.1093005912704101,0.0,0.0,0.0,0.0,0.8185645663029554,0.03956677028745649,0.7185268006448962,0.0,0.0,0.04218135340116128,0.0,0.04436317016179495
information_assimilation_augmentation,[0.18396609 0.00207859 0.37593672],"quaternion(0.955185353755951, 0.0165388304740191, -0.29461282491684, -0.0234682764858007)",[0.17769901 0.01056024 0.39975938],[-0.30421579  0.04643289  1.06268978],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,530.8327,[-0.4819148   0.03587265  0.6629304 ],0.0,[ 0.01567465  0.0146227  -0.02979095],[0.03123491 0.00078349 0.01217651],[0. 0. 0.],[0. 0. 0.],[-0.2856256  -0.07281127 -0.19123704],[0. 0. 0.],[ 0.03751488 -0.34655267  0.04602405],0.41854062659801705,0.4376025844719051,1.1063511332987204,0.0,0.0,0.0,0.0,0.8203690868463848,0.03670175405990288,0.03353358120507634,0.0,0.0,0.35136173704459256,0.0,0.35160251728962216
information_assimilation_augmentation,[0.18721074 0.00510549 0.36976999],"quaternion(0.95451557636261, 0.0174028519541025, -0.296553432941437, -0.0255597773939371)",[0.17664728 0.00474748 0.38255724],[-0.36334029  0.03136095  1.02310371],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,531.0397,[-0.53998756  0.02661347  0.64054647],0.0,[-0.00761096  0.00074358 -0.01488601],[-0.00364281  0.01836783 -0.21559021],[0. 0. 0.],[0. 0. 0.],[ 0.00180892 -0.03090654  0.00269277],[0. 0. 0.],[0.02791072 0.00703847 0.02323661],0.41449218630759,0.4213986744785345,1.0861587748540136,0.0,0.0,0.0,0.0,0.8382091789014696,0.01673537581634493,0.2164019039697011,0.0,0.0,0.031076311165046448,0.0,0.03699308785436161
information_assimilation_augmentation,[0.18523493 0.00529852 0.36590558],"quaternion(0.951657056808472, 0.00068512128200382, -0.30605211853981, -0.0260865669697523)",[0.1768489  0.00459711 0.3811934 ],[-0.36287069  0.02333762  1.02380276],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,531.2993,[-0.5397196   0.01874051  0.64260936],0.0,[-0.02452215 -0.01342693  0.01557012],[-0.17151815 -0.01922469  0.22104277],[0. 0. 0.],[0. 0. 0.],[ 0.01807937 -0.19845606  0.01319051],[0. 0. 0.],[0.1785081  0.06335663 0.14807905],0.4101547887536187,0.42024406694375943,1.0864584070084868,0.0,0.0,0.0,0.0,0.8394017132393541,0.03200073137436382,0.2804424540065605,0.0,0.0,0.1997139468565498,0.0,0.24043004733134493
information_assimilation_augmentation,[0.17836873 0.00153898 0.37026522],"quaternion(0.953301012516022, 0.0194155164062977, -0.301191478967667, -0.011129972524941)",[0.17456567 0.00383198 0.37029397],[-0.35780847 -0.03223008  1.0274961 ],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,531.5793,[-0.53237414 -0.03606206  0.65720212],0.0,[-0.02244238 -0.04122357 -0.00259247],[-0.05586778 -0.02255425  0.51288947],[0. 0. 0.],[0. 0. 0.],[-0.015812    0.01007279 -0.00721913],[0. 0. 0.],[-0.00895031 -0.0188327  -0.00828369],0.4109916094585843,0.40939649002115075,1.0884915774396795,0.0,0.0,0.0,0.0,0.8465443481664499,0.04700812592553738,0.5164160286193528,0.0,0.0,0.020089705142416855,0.0,0.022436531759366204
information_assimilation_augmentation,[ 0.17314415 -0.00805787  0.36966169],"quaternion(0.950243949890137, 0.0569434054195881, -0.30617168545723, -0.00726115610450506)",[0.1739358  0.00378719 0.37074965],[-0.3614895  -0.02988513  1.02581549],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,531.8121,[-0.53542531 -0.03367232  0.65506583],0.0,[ 0.01908574  0.01617151 -0.0098756 ],[2.11690098e-02 6.98815270e-05 1.63064909e-01],[0. 0. 0.],[0. 0. 0.],[ 0.00269716 -0.01602689  0.00166737],[0. 0. 0.],[0.01215319 0.00641582 0.01026334],0.4082812620601553,0.40954036471725325,1.0880556954111231,0.0,0.0,0.0,0.0,0.8467144326313728,0.026894434490903084,0.16443325842497633,0.0,0.0,0.016337567147137872,0.0,0.017152226996280617
