annotation,headPosition,headRotation,gazeOrigin,gazeHitPosition,rightHandPosition,leftHandPosition,rightHandEndPoint,leftHandEndPoint,HitByHandPointer,HitByGazePointer,buttonClicked,timestamps,gazeDirection,hand2GazePointersDistance,headLinearVelocity,headAngularVelocity,rightHandVelocity,leftHandVelocity,gazeHitPositionVelocity,handsEndPointVelocity,gazeDirectionVelocity,headPositionNorm,gazeOriginNorm,gazeHitPositionNorm,rightHandPositionNorm,leftHandPositionNorm,rightHandEndPointNorm,leftHandEndPointNorm,gazeDirectionNorm,headLinearVelocityNorm,headAngularVelocityNorm,rightHandVelocityNorm,leftHandVelocityNorm,gazeHitPositionVelocityNorm,handsEndPointVelocityNorm,gazeDirectionVelocityNorm
information_assimilation_augmentation,[0.39600015 0.09381386 1.18325448],"quaternion(0.944236218929291, -0.0158197786659002, 0.328860908746719, -0.00427122134715319)",[0.4007217  0.09183936 1.1903441 ],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,None,None,101.5239,[0. 0. 0.],0.0,[0.00253673 0.00257509 0.00039522],[0.01532647 0.00107156 0.02573823],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],1.2512826705988598,1.2593376881578147,0.0,0.0,0.0,0.0,0.0,0.0,0.003636244672834124,0.02997507773711317,0.0,0.0,0.0,0.0,0.0
information_assimilation_augmentation,[0.39684564 0.09467214 1.18338621],"quaternion(0.944445490837097, -0.0186075977981091, 0.328130692243576, -0.00258074328303337)",[0.1190537  0.02840164 0.35501587],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,None,None,101.8572,[0. 0. 0.],0.0,[-0.01821702 -0.09760059  0.07462548],[-0.16524449 -0.02229313 -1.64303675],[0. 0. 0.],[0. 0. 0.],[3.98089766 0.35451465 8.82698498],[0. 0. 0.],[ 0.  0. -0.],1.2517396647736752,0.3755219130923403,0.0,0.0,0.0,0.0,0.0,0.0,0.12420426104321255,1.651475853349976,0.0,0.0,9.689627996832778,0.0,0.0
information_assimilation_augmentation,[0.39313483 0.07479089 1.19858742],"quaternion(0.952962815761566, 0.0831871554255486, 0.29118749499321, -0.0123172523453832)",[0.40047979 0.09150624 1.19142771],[0.81090885 0.07221463 1.79805684],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,102.0609,[ 0.41042906 -0.0192916   0.60662913],0.0,[-0.00484423  0.01296378  0.00851985],[ 0.00644112 -0.00768555 -0.13818962],[0. 0. 0.],[0. 0. 0.],[-0.01019268 -0.01138638  0.00648747],[0. 0. 0.],[ 0.00780487 -0.01245119 -0.00567653],1.2636298793713263,1.2602608613888673,1.9737772229548152,0.0,0.0,0.0,0.0,0.7326821171945489,0.01625157890706043,0.13855297613185838,0.0,0.0,0.016602035502256144,0.0,0.015753449882187395
information_assimilation_augmentation,[0.39190537 0.0780811  1.20074975],"quaternion(0.957003355026245, 0.0893623381853104, 0.275743275880814, -0.0111704776063561)",[0.40041363 0.09037962 1.19267249],[0.80832195 0.06932477 1.79970336],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,102.3147,[ 0.40790832 -0.02105485  0.60703087],0.0,[ 0.01166253  0.01815526 -0.00474937],[-0.02851152  0.02490227  0.38662433],[ 2.08777296 -1.27769045  5.0631045 ],[0. 0. 0.],[-0.01683739 -0.01605702  0.01078538],[ 2.34674518 -1.31766519  6.74962349],[ 0.01481343 -0.02569501 -0.01084546],1.2654984983176882,1.2613354919842645,1.97411308834826,0.0,0.0,0.0,0.0,0.7316549595880305,0.022094899166009385,0.38847317263533576,5.623727943788243,0.0,0.02564468230007147,7.266420829043985,0.031579983688462265
information_assimilation_augmentation,[0.39490497 0.08275063 1.19952822],"quaternion(0.956914305686951, 0.0615331567823887, 0.283444076776505, -0.0137187382206321)",[0.40068632 0.08966814 1.19363511],[0.80399138 0.0651949  1.80247736],[ 0.5369752  -0.32862198  1.30223048],[0. 0. 0.],[ 0.60358286 -0.33890349  1.73600316],[0. 0. 0.],GearsCollection (UnityEngine.GameObject),ScenarioMenu(Clone) (UnityEngine.GameObject),None,102.5719,[ 0.40330505 -0.02447324  0.60884225],0.2078779034243503,[ 0.01433404  0.02786495 -0.00167358],[0.11941967 0.00488895 0.63664845],[ 0.03326666 -0.008579   -0.01996087],[0. 0. 0.],[-0.01523698 -0.01140429  0.00979377],[ 0.02700846 -0.00606237 -0.04151391],[ 0.01129231 -0.02625347 -0.00853546],1.2655692583479106,1.2622815342604636,1.9747347019184989,1.4464228271423216,0.0,1.868923437230094,0.0,0.7307138943888488,0.031380269975522616,0.6477701817381877,0.039732935950251506,0.0,0.021404240379806393,0.04989603253163585,0.029826417776937435
information_assimilation_augmentation,[0.39784345 0.08846295 1.19918513],"quaternion(0.955931603908539, 0.0243603009730577, 0.29249769449234, -0.00681554479524493)",[0.40139833 0.0894111  1.19431698],[0.8008678  0.06285702 1.80448508],[ 0.54379487 -0.33038068  1.2981385 ],[0. 0. 0.],[ 0.60911959 -0.34014627  1.72749281],[0. 0. 0.],GearsCollection (UnityEngine.GameObject),ScenarioMenu(Clone) (UnityEngine.GameObject),None,102.7769,[ 0.39946947 -0.02655408  0.6101681 ],0.205106841058512,[-0.00685453 -0.01178316  0.00779198],[ 0.00372115 -0.00396269 -0.15676373],[-2.09393481  1.2721628  -4.99860801],[0. 0. 0.],[-0.00523796 -0.00625365  0.00412573],[-2.34547399  1.30976617 -6.65187836],[ 0.00654039 -0.00975537 -0.00470646],1.2665504677762278,1.2631342057313732,1.9752231887851046,1.445692850096927,0.0,1.863050609449956,0.0,0.729784956039756,0.015701673856663528,0.15685795130607677,5.566780323823162,0.0,0.009141446686569816,7.173856794185171,0.012652855718051992
information_assimilation_augmentation,[0.39606333 0.08540286 1.20120871],"quaternion(0.957552194595337, 0.0355937592685223, 0.285982698202133, -0.0063842055387795)",[0.40202057 0.08928316 1.19504237],[0.7995075  0.06123295 1.80555654],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,103.0366,[ 0.39748693 -0.02805021  0.61051416],0.0,[-0.00398495  0.01120514 -0.0103043 ],[ 0.0271576  -0.00261082  0.03445868],[0. 0. 0.],[0. 0. 0.],[-0.00503152 -0.01311266  0.00299418],[0. 0. 0.],[ 0.01355783 -0.0049557  -0.00905478],1.267699560194651,1.2640088190761303,1.9756001919566508,0.0,0.0,0.0,0.0,0.7290474705764728,0.0157357420531677,0.04395170691105342,0.0,0.0,0.014360474701969592,0.0,0.0170400332063305
information_assimilation_augmentation,[0.39519501 0.08784446 1.1989634 ],"quaternion(0.957269966602325, 0.0335570946335793, 0.28720423579216, -0.00468651577830315)",[0.40234509 0.08895925 1.19643581],[0.79841113 0.0583757  1.80620897],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,103.2545,[ 0.39606604 -0.03058355  0.60977316],0.0,[ 0.00589929 -0.00031143 -0.00828435],[-0.02245974  0.00342601  0.04913702],[0. 0. 0.],[0. 0. 0.],[-0.00538007 -0.02169494  0.00385807],[0. 0. 0.],[ 0.02346915 -0.00220439 -0.01535448],1.2654678923600278,1.265406640826348,1.97566669585921,0.0,0.0,0.0,0.0,0.727754743762174,0.010174925830383933,0.054135241425952,0.0,0.0,0.022682600674117558,0.0,0.02813219144904474
information_assimilation_augmentation,[0.3964079  0.08778043 1.19726014],"quaternion(0.955272912979126, 0.0313423313200474, 0.293995410203934, -0.00617235340178013)",[0.40204287 0.08865359 1.19786131],[0.79730499 0.05391522 1.80700219],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,103.4601,[ 0.39526212 -0.03473837  0.60914087],0.0,[-0.00274463 -0.0014947  -0.00789955],[0.00351222 0.00010488 0.02283032],[0. 0. 0.],[0. 0. 0.],[ 0.01755468 -0.01735016 -0.01138175],[0. 0. 0.],[ 0.01985755  0.03382793 -0.0109561 ],1.2642295974742535,1.2666371427929524,1.9758185639967594,0.0,0.0,0.0,0.0,0.7269742102416534,0.00849529830928252,0.023099140230576222,0.0,0.0,0.02717975326844299,0.0,0.040726982280255716
information_assimilation_augmentation,[0.39577499 0.08743575 1.1954385 ],"quaternion(0.95526111125946, 0.0297977812588215, 0.294199019670486, -0.00593567499890924)",[0.40169179 0.0884152  1.19888055],[0.8013531  0.04991427 1.80437756],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,ScenarioMenu(Clone) (UnityEngine.GameObject),None,103.6907,[ 0.3996613  -0.03850092  0.605497  ],0.0,[ 1.83832195e-03  7.07816795e-05 -9.26525434e-03],[-0.00648326  0.00079753  0.00698255],[0. 0. 0.],[0. 0. 0.],[ 0.01243337 -0.01457838 -0.00819382],[0. 0. 0.],[ 0.01664469  0.01979353 -0.00972782],1.262282088555122,1.2674731262939354,1.9749522993836848,0.0,0.0,0.0,0.0,0.7265246713303395,0.009446130194125145,0.00956162711041746,0.0,0.0,0.020838826296807177,0.0,0.027630779535688564
